Question_ID,Section,Collection_Mode,Question_Text,Response_Type,Allowed_Values_or_Unit,Required_Level,Required_When,Preferred_Source,Fallback_Sources,Default_Owner,Target_Outputs,Destination
CTL-001,Intake Control,AUTO_IMPORT,What is the application correlation or MOTS ID?,IDENTIFIER,,REQUIRED,,iTAP,UAQ|Application Questionnaire,Migration Analyst,ALL,01_App_Control
CTL-002,Intake Control,AUTO_IMPORT,What are the approved application name and acronym?,TEXT_PAIR,,REQUIRED,,iTAP,UAQ,Application Owner,ALL,01_App_Control
CTL-003,Intake Control,HITL_OWNER,What deliverables are required for this intake?,MULTI_SELECT,TOPOLOGY|ADS|DDD,REQUIRED,,Migration Request,DXC,Migration Lead,ALL,01_App_Control
APP-001,Application,AUTO_IMPORT,What business function does the application provide?,LONG_TEXT,,REQUIRED,,UAQ,Deep Dive Notes,Application Owner,ADS|DDD,03_Answers
APP-002,Application,AUTO_IMPORT,Who are the IT application owner and primary technical contacts?,PEOPLE_LIST,,REQUIRED,,iTAP,UAQ|Deep Dive Notes,Application Owner,ADS|DDD,03_Answers
APP-003,Application,AUTO_IMPORT,What is the current operational status?,SINGLE_SELECT,ACTIVE|MAINTENANCE|RETIRING|RETIRED|UNKNOWN,REQUIRED,,iTAP,UAQ,Application Owner,ADS|DDD,03_Answers
APP-004,Application,AUTO_IMPORT,What are the business criticality and emergency tier?,CONTROLLED_PAIR,,REQUIRED,,iTAP,UAQ,Application Owner,ADS|DDD,03_Answers
APP-005,Application,AUTO_IMPORT,Which current environments exist?,MULTI_SELECT,DEV|TEST|QA|STAGE|UAT|PROD|DR|OTHER,REQUIRED,,UAQ,PORT|SUD,Application Owner,TOPOLOGY|ADS|DDD,03_Answers
APP-006,Application,HITL_OWNER,How many internal and external users use the application?,COUNT_PAIR,users,CONDITIONAL,Application has interactive users,Application Owner,UAQ,Application Owner,ADS|DDD,03_Answers
APP-007,Application,AUTO_IMPORT,Is the application customer facing?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,iTAP,UAQ,Application Owner,ADS|DDD,03_Answers
APP-008,Application,AUTO_IMPORT,Is the application internet facing?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,iTAP,UAQ,Security Architect,TOPOLOGY|ADS|DDD,03_Answers
CUR-001,Current Architecture,HITL_OWNER,Which evidence item is the approved current-state architecture diagram?,EVIDENCE_REFERENCE,,REQUIRED,,Deep Dive Notes,PORT|Application Documentation,Application Architect,ADS|DDD,03_Answers
CUR-002,Current Architecture,HITL_OWNER,What architecture style and application tiers exist today?,MULTI_SELECT,MONOLITH|THREE_TIER|MICROSERVICES|BATCH|CLIENT_SERVER|OTHER,REQUIRED,,Deep Dive Notes,UAQ,Application Architect,ADS|DDD,03_Answers
CUR-003,Current Architecture,HITL_OWNER,Which components or applications must migrate together?,LONG_TEXT,,CONDITIONAL,Dependencies exist,UAQ,Deep Dive Notes,Application Architect,ADS|DDD,03_Answers
CMP-001,Compute,HITL_PORTAL,Is the server inventory complete and current for every environment?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE|NOT_APPLICABLE,REQUIRED,,SUD,PORT|Deep Dive Notes,Compute Analyst,TOPOLOGY|ADS|DDD,04_Servers
CMP-002,Compute,HITL_OWNER,What application changes are required when IP addresses or hostnames change?,LONG_TEXT,,REQUIRED,,Application Owner,UAQ|Deep Dive Notes,Application Technical Lead,ADS|DDD,03_Answers
CMP-003,Compute,HITL_OWNER,Is any license bound to host ID MAC IP or FQDN?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,Application Owner,Deep Dive Notes,Application Technical Lead,ADS|DDD,03_Answers
